source	target
H00130	hsa00531
H00130	hsa04142
H00421	hsa00531
H00421	hsa04142
H00149	hsa00062
H00149	hsa04142
H00664	hsa00010
H00184	hsa00260
H01018	hsa04630
H01018	hsa04650
H01018	hsa04670
H01018	hsa04920
H01984	hsa04014
H01738	hsa04014
H02410	hsa04014
H01428	hsa03420
H00403	hsa03420
H01942	hsa00500
H01955	hsa00500
H01762	hsa00500
H00069	hsa00500
H01760	hsa00500
H00252	hsa04962
H01231	hsa04977
H00736	hsa04923
H02206	hsa00860
H02206	hsa04216
H00104	hsa04610
H01434	hsa04610
H00821	hsa04610
H00836	hsa04920
H00836	hsa04976
H00428	hsa04966
H00770	hsa00564
H00770	hsa04725
H01980	hsa00071
H01980	hsa01212
H00525	hsa00071
H01127	hsa00563
H01489	hsa00563
H01488	hsa00563
H01283	hsa00410
H01283	hsa00640
H01283	hsa04146
H00115	hsa00500
H02106	hsa04923
H00185	hsa00220
H00185	hsa00250
H01398	hsa00220
H00894	hsa04010
H00831	hsa04728
H01376	hsa03040
H01277	hsa04977
H00103	hsa04610
H01267	hsa02010
H00720	hsa04261
H00409	hsa04911
H00790	hsa03050
H00105	hsa04610
H02240	hsa04610
H00102	hsa04610
H00118	hsa04141
H01879	hsa03022
H01188	hsa00512
H00985	hsa04612
H01078	hsa04610
H00647	hsa04520
H00849	hsa00260
H00849	hsa00330
H00154	hsa00561
H00154	hsa03320
H00575	hsa04614
H01007	hsa04110
H01007	hsa04115
H01007	hsa04210
H01007	hsa04310
H01007	hsa04722
H00881	hsa04110
H00881	hsa04115
H00881	hsa04210
H00881	hsa04310
H00296	hsa03440
H01289	hsa04120
H00886	hsa04340
H01743	hsa04064
H00834	hsa00260
H00834	hsa00330
H00224	hsa04512
H00224	hsa04640
H01740	hsa04611
H00700	hsa04721
H00700	hsa04961
H00813	hsa04510
H00813	hsa04512
H00586	hsa04510
H00586	hsa04512
H00187	hsa00220
H01486	hsa00563
H01103	hsa04610
H01003	hsa00260
H01154	hsa04910
H01956	hsa04910
H01956	hsa04922
H01948	hsa04910
H01948	hsa04922
H00069	hsa00010
H00069	hsa04910
H01760	hsa00010
H01760	hsa04910
H00138	hsa00600
H00138	hsa04142
H00424	hsa00600
H00424	hsa04142
H00265	hsa00600
H01747	hsa04014
H02069	hsa04014
H02069	hsa04015
H02069	hsa04810
H02068	hsa04014
H02068	hsa04015
H02068	hsa04810
H00997	hsa04810
H00505	hsa04014
H00505	hsa04015
H00505	hsa04810
H00778	hsa04350
H00868	hsa04350
H00482	hsa04350
H00484	hsa04010
H00484	hsa04350
H00800	hsa04010
H00800	hsa04060
H00800	hsa04350
H00800	hsa04380
H00800	hsa04390
H00078	hsa04010
H00742	hsa04514
H00742	hsa04530
H00742	hsa04670
H00218	hsa02010
H01033	hsa02010
H00933	hsa04971
H00933	hsa04972
H00933	hsa04976
H01303	hsa04612
H02276	hsa04141
H01940	hsa00052
H00895	hsa04340
H00267	hsa04340
H01667	hsa04340
H00119	hsa00510
H00168	hsa00350
H00168	hsa04916
H00654	hsa00564
H00233	hsa04530
H00233	hsa04810
H02053	hsa04530
H02053	hsa04810
H00578	hsa04530
H00578	hsa04810
H02051	hsa04530
H02051	hsa04810
H00480	hsa04810
H02014	hsa03410
H02014	hsa03420
H00700	hsa00562
H00700	hsa04070
H00174	hsa00280
H01509	hsa04110
H00108	hsa04210
H00182	hsa00260
H00182	hsa00270
H00837	hsa00830
H00689	hsa04710
H00481	hsa00230
H00667	hsa04080
H00831	hsa04920
H00290	hsa04622
H01254	hsa04610
H00223	hsa04610
H02005	hsa00020
H02005	hsa00190
H00290	hsa03030
H01145	hsa04978
H00608	hsa00140
H00876	hsa03430
H02248	hsa00100
H01194	hsa00100
H01347	hsa00190
H01905	hsa04010
H00117	hsa00260
H00117	hsa00630
H01232	hsa04120
H01232	hsa04144
H00804	hsa00020
H00804	hsa01100
H02004	hsa00020
H01022	hsa00020
H00924	hsa03450
H01197	hsa00670
H01197	hsa00790
H00999	hsa00900
H00663	hsa00900
H00191	hsa00260
H01933	hsa00900
H01593	hsa04380
H00731	hsa04270
H01466	hsa04630
H01227	hsa04630
H02008	hsa00052
H00070	hsa00052
H00070	hsa00520
H01961	hsa00515
H02285	hsa00280
H02285	hsa00410
H02285	hsa00640
H00992	hsa03460
H01621	hsa04350
H01280	hsa00650
H00165	hsa00350
H00165	hsa00360
H00807	hsa04080
H00807	hsa04725
H00680	hsa04080
H00680	hsa04961
H01777	hsa04512
H02106	hsa04080
H00344	hsa04612
H00344	hsa04650
H00593	hsa04144
H01174	hsa04978
H02311	hsa00790
H00947	hsa04310
H00947	hsa04520
H00947	hsa04916
H02302	hsa04310
H00183	hsa00260
H00183	hsa00270
H00530	hsa00562
H02318	hsa04310
H00434	hsa04350
H00180	hsa00780
H02191	hsa04611
H01039	hsa04080
H00455	hsa03013
H00700	hsa04144
H02256	hsa04610
H02023	hsa04810
H00698	hsa04666
H00698	hsa04810
H02095	hsa00970
H00808	hsa04727
H00469	hsa00230
H00469	hsa00240
H00937	hsa04080
H00255	hsa04080
H02294	hsa00270
H00978	hsa04530
H01762	hsa00010
H02100	hsa04146
H00207	hsa04146
H01342	hsa04146
H00205	hsa04146
H02044	hsa04066
H02044	hsa04151
H00773	hsa04261
H00773	hsa04728
H01969	hsa04210
H01947	hsa04911
H01947	hsa04973
H00933	hsa04974
H00097	hsa04060
H01929	hsa00760
H02014	hsa03440
H00583	hsa04120
H01267	hsa00010
H01190	hsa04977
H00266	hsa04142
H01253	hsa04080
H01253	hsa04912
H01497	hsa00532
H02211	hsa04928
H01935	hsa04976
H00441	hsa04020
H02013	hsa00561
H02313	hsa00480
H00188	hsa00310
H01242	hsa00310
H00645	hsa04662
H00645	hsa04920
H00540	hsa04662
H00484	hsa04810
H01738	hsa04010
H00523	hsa04010
H00098	hsa04666
H00915	hsa04150
H00915	hsa04910
H00896	hsa04150
H00896	hsa04910
H01691	hsa04150
H01692	hsa04150
H01251	hsa04150
H01251	hsa04910
H00728	hsa04010
H00731	hsa04261
H00770	hsa04080
H01387	hsa04664
H00559	hsa04120
H01510	hsa04066
H00787	hsa04010
H00787	hsa04744
H00527	hsa04744
H01478	hsa04141
H01903	hsa04977
H00179	hsa00280
H00179	hsa00650
H02086	hsa00190
H02086	hsa04260
H01943	hsa00500
H01943	hsa04910
H01762	hsa04910
H01762	hsa04922
H01196	hsa04142
H01196	hsa04978
H02314	hsa00140
H00800	hsa04144
H01649	hsa04080
H01649	hsa04728
H00497	hsa04650
H01502	hsa04620
H00666	hsa04150
H00473	hsa00190
H00074	hsa00250
H01005	hsa00350
H02332	hsa04340
H00408	hsa04060
H00250	hsa04918
H00794	hsa00140
H02020	hsa00140
H02020	hsa04913
H00915	hsa04115
H00896	hsa04115
H01217	hsa04060
H00201	hsa00860
H01763	hsa00860
H00242	hsa04960
H00892	hsa04960
H00243	hsa04960
H02310	hsa04960
H00999	hsa00130
H01498	hsa00532
H01498	hsa00534
H01203	hsa00140
H01203	hsa00380
H01203	hsa00980
H00602	hsa00140
H00216	hsa00140
H02310	hsa04966
H01703	hsa04920
H00947	hsa04510
H00947	hsa04670
H00273	hsa04142
H00273	hsa04620
H00425	hsa04620
H00818	hsa04150
H01502	hsa04630
H00980	hsa00310
H01185	hsa04726
H00773	hsa04024
H00728	hsa04260
H00157	hsa03320
H02111	hsa04724
H01274	hsa04510
H00166	hsa04142
H02108	hsa04610
H01726	hsa04610
H00106	hsa04610
H01400	hsa00280
H00451	hsa04310
H00450	hsa04310
H01774	hsa04310
H00589	hsa04310
H01742	hsa04310
H00625	hsa04310
H00177	hsa04146
H01102	hsa04012
H01102	hsa04110
H01182	hsa00780
H01182	hsa04977
H00713	hsa04110
H01878	hsa03018
H00954	hsa00533
H01490	hsa04514
H02113	hsa00020
H02113	hsa00630
H00392	hsa00071
H00392	hsa01212
H02241	hsa04510
H02241	hsa04512
H02241	hsa04926
H02243	hsa04510
H02243	hsa04512
H02243	hsa04926
H00802	hsa04510
H00802	hsa04512
H00801	hsa04510
H00801	hsa04810
H01205	hsa00982
H00935	hsa04060
H00935	hsa04630
H00560	hsa02010
H01355	hsa00190
H01355	hsa04260
H00831	hsa04260
H01583	hsa00380
H02087	hsa00380
H00651	hsa04060
H00509	hsa04120
H01019	hsa04260
H01984	hsa04722
H00824	hsa00230
H00219	hsa04610
H00078	hsa04141
H02232	hsa00970
H00287	hsa04621
H00203	hsa00380
H00203	hsa04146
H00344	hsa04141
H02412	hsa04014
H00593	hsa04530
H01207	hsa04010
H01207	hsa04520
H01207	hsa04810
H00237	hsa03010
H00465	hsa03013
H01731	hsa03013
H00481	hsa04744
H01513	hsa04110
H01349	hsa00280
H01812	hsa04660
H00837	hsa00230
H00186	hsa00220
H00186	hsa00330
H00190	hsa00330
H01025	hsa04310
H01025	hsa04810
H01667	hsa04310
H01403	hsa04714
H01381	hsa04610
H00616	hsa03008
H01007	hsa04010
H00881	hsa04010
H00114	hsa00010
H01028	hsa00220
H01028	hsa00250
H00769	hsa04080
H00642	hsa04010
H00642	hsa04144
H00642	hsa04810
H01219	hsa04260
H01940	hsa04142
H00126	hsa00511
H00126	hsa00600
H00126	hsa04142
H01762	hsa04142
H00122	hsa00534
H00923	hsa00220
H00923	hsa00250
H00923	hsa00910
H00923	hsa04727
H02246	hsa00532
H01260	hsa04510
H01260	hsa04512
H01260	hsa04810
H02369	hsa03030
H02369	hsa03410
H02369	hsa03420
H02370	hsa03030
H02370	hsa03410
H02370	hsa03420
H00631	hsa04110
H00907	hsa00310
H01270	hsa04975
H01270	hsa04977
H01413	hsa04330
H01413	hsa04658
H02169	hsa04392
H00681	hsa04330
H00183	hsa00670
H00262	hsa00670
H01435	hsa03010
H02259	hsa04020
H02259	hsa04611
H02258	hsa04020
H02258	hsa04611
H00787	hsa04080
H02329	hsa00561
H02329	hsa04979
H00901	hsa04974
H00198	hsa00240
H01742	hsa04022
H00668	hsa00480
H00702	hsa04260
H00811	hsa04260
H00698	hsa04260
H01839	hsa03040
H00076	hsa03420
H02131	hsa03420
H02131	hsa04120
H02275	hsa04142
H00811	hsa04530
H02214	hsa04150
H02011	hsa04614
H00541	hsa04614
H00272	hsa04142
H00932	hsa04142
H01225	hsa00020
H00569	hsa04810
H00674	hsa00230
H00063	hsa03008
H01485	hsa00563
H00099	hsa04670
H00469	hsa00020
H00593	hsa04510
H02093	hsa04611
H00219	hsa04512
H00219	hsa04640
H01352	hsa00071
H01352	hsa01212
H00159	hsa02010
H00733	hsa02010
H00930	hsa02010
H00930	hsa04975
H01677	hsa04360
H01677	hsa04530
H01146	hsa00220
H01257	hsa00250
H01603	hsa04020
H00808	hsa04010
H00581	hsa04510
H00581	hsa04512
H02292	hsa00830
H01982	hsa00071
H01982	hsa01212
H01400	hsa00071
H01369	hsa00190
H01210	hsa04514
H01210	hsa04530
H02276	hsa04142
H02253	hsa03013
H00071	hsa00010
H01287	hsa04360
H00930	hsa04977
H00167	hsa00790
H00207	hsa00564
H00612	hsa03008
H01368	hsa00860
H01102	hsa04910
H01939	hsa00010
H01939	hsa04973
H01957	hsa00515
H00420	hsa03320
H00409	hsa03320
H02106	hsa03320
H00593	hsa04120
H01496	hsa00532
H01496	hsa00534
H02380	hsa00030
H02380	hsa00260
H02380	hsa00561
H02380	hsa00630
H00986	hsa04080
H01122	hsa04060
H00930	hsa03320
H02220	hsa04142
H00118	hsa00051
H00567	hsa04144
H00567	hsa04510
H02179	hsa04144
H02179	hsa04510
H02181	hsa04144
H02181	hsa04510
H02182	hsa04144
H02182	hsa04510
H00439	hsa03008
H01281	hsa00100
H00265	hsa04145
H00708	hsa04915
H01279	hsa00280
H00075	hsa04146
H00220	hsa04610
H00799	hsa04130
H00586	hsa04810
H00925	hsa00280
H00554	hsa04330
H01344	hsa03440
H01351	hsa00970
H00530	hsa04340
H01700	hsa04080
H01013	hsa00601
H00582	hsa04510
H00582	hsa04512
H00409	hsa04972
H01018	hsa04722
H02346	hsa04710
H01882	hsa04514
H02111	hsa04514
H01290	hsa00561
H01290	hsa00564
H01646	hsa04726
H00920	hsa00190
H00920	hsa01100
H00408	hsa04630
H02279	hsa04140
H02279	hsa04210
H02208	hsa00770
H02209	hsa00770
H02277	hsa00062
H02277	hsa01212
H02277	hsa04142
H02215	hsa04727
H02071	hsa04510
H02071	hsa04512
H02070	hsa04510
H02070	hsa04512
H02066	hsa04510
H02066	hsa04512
H00520	hsa04510
H00520	hsa04512
H01526	hsa04510
H01526	hsa04512
H02237	hsa00230
H01895	hsa04726
H01383	hsa04144
H01383	hsa04913
H01383	hsa04976
H00155	hsa04144
H00155	hsa04976
H01108	hsa03320
H01108	hsa04920
H01108	hsa04975
H00250	hsa04919
H01294	hsa04080
H01294	hsa04962
H01682	hsa04080
H01682	hsa04962
H01683	hsa04080
H01683	hsa04962
H00548	hsa00340
H00548	hsa00350
H00548	hsa00380
H00151	hsa00120
H00151	hsa03320
H02039	hsa04630
H00172	hsa00280
H00594	hsa04530
H01262	hsa00340
H01262	hsa00670
H01390	hsa00240
H02009	hsa00052
H00207	hsa00565
H00783	hsa04080
H00783	hsa04727
H01053	hsa00563
H00838	hsa04145
H00838	hsa04540
H02298	hsa04120
H00684	hsa04915
H01363	hsa00190
H01177	hsa00190
H01177	hsa03013
H02069	hsa04010
H02069	hsa04151
H02068	hsa04010
H02068	hsa04151
H00997	hsa04010
H00505	hsa04010
H00505	hsa04151
H01918	hsa04144
H00645	hsa04660
H00540	hsa04660
H01284	hsa04141
H00020	hsa00512
H00125	hsa00600
H00125	hsa00603
H00125	hsa04142
H01904	hsa00190
H00494	hsa00240
H00610	hsa03020
H00768	hsa00513
H01192	hsa00310
H01192	hsa00514
H01019	hsa04020
H01155	hsa04514
H00173	hsa00280
H00595	hsa04141
H00775	hsa04020
H00775	hsa04721
H00775	hsa04724
H00775	hsa04725
H00775	hsa04727
H00775	hsa04728
H00775	hsa04730
H00749	hsa04020
H00749	hsa04721
H00749	hsa04724
H00749	hsa04725
H00749	hsa04727
H00749	hsa04728
H00749	hsa04730
H00063	hsa04730
H00754	hsa00280
H01143	hsa00100
H02016	hsa00511
H02016	hsa00531
H00124	hsa00511
H00124	hsa00531
H00124	hsa00603
H00124	hsa00604
H00426	hsa00511
H00426	hsa00531
H00426	hsa00604
H00241	hsa04964
H00241	hsa04966
H01484	hsa03010
H02310	hsa04964
H00527	hsa03040
H00255	hsa04912
H00127	hsa00600
H00127	hsa04142
H02130	hsa04142
H00143	hsa04142
H00692	hsa00562
H00692	hsa04070
H00694	hsa00562
H00694	hsa04070
H00769	hsa04721
H00530	hsa04070
H01450	hsa04724
H01450	hsa04726
H00202	hsa00860
H01567	hsa00730
H00597	hsa00270
H00597	hsa00330
H00597	hsa00480
H01732	hsa04120
H00832	hsa00770
H01121	hsa00072
H01121	hsa00280
H01121	hsa00650
H00438	hsa04380
H00923	hsa04724
H01945	hsa00010
H00934	hsa04310
H01997	hsa00010
H01997	hsa00620
H00072	hsa00010
H00072	hsa00620
H00249	hsa04080
H00249	hsa04919
H01267	hsa00471
H00628	hsa00120
H00628	hsa00140
H00545	hsa04141
H00263	hsa04340
H00636	hsa04310
H02037	hsa04060
H02037	hsa04080
H02037	hsa04151
H02037	hsa04630
H00698	hsa04360
H00344	hsa04620
H00579	hsa04510
H00579	hsa04512
H00877	hsa04510
H00877	hsa04512
H00839	hsa04510
H00839	hsa04512
H01494	hsa00532
H01494	hsa00534
H01109	hsa04620
H01109	hsa04621
H01365	hsa00190
H00222	hsa04610
H00912	hsa04010
H00164	hsa00220
H00164	hsa00250
H00164	hsa00910
H01703	hsa04024
H00916	hsa04722
H00251	hsa04918
H02048	hsa04510
H02064	hsa04510
H02067	hsa04510
H00941	hsa04610
H01006	hsa04610
H01572	hsa04141
H00466	hsa04350
H00483	hsa04350
H00467	hsa04350
H00554	hsa04350
H01674	hsa04612
H02411	hsa04014
H01255	hsa04520
H01124	hsa00750
H00496	hsa00100
H01917	hsa00100
H00595	hsa04010
H01227	hsa04060
H01466	hsa04060
H00286	hsa04060
H00286	hsa04630
H00800	hsa04520
H00801	hsa04350
H00801	hsa04520
H00533	hsa04350
H00801	hsa04060
H00837	hsa04744
H00869	hsa03013
H00646	hsa04310
H00646	hsa04916
H00632	hsa04350
H00409	hsa04110
H00409	hsa04310
H00409	hsa04350
H02072	hsa04151
H02072	hsa04510
H02072	hsa04512
H02071	hsa04151
H00133	hsa00531
H02066	hsa04151
H02070	hsa04151
H00520	hsa04151
H01295	hsa04144
H00805	hsa04510
H00805	hsa04512
H01206	hsa04080
H01206	hsa04610
H00507	hsa03008
H02090	hsa00500
H00973	hsa04744
H00784	hsa04961
H00784	hsa04978
H01143	hsa04961
H01143	hsa04978
H02254	hsa04060
H02254	hsa04630
H02312	hsa00480
H02312	hsa04216
H01109	hsa04630
H00239	hsa04960
H00688	hsa04710
H01949	hsa00500
H02116	hsa00260
H01970	hsa04660
H00833	hsa00770
H00681	hsa04310
H00681	hsa04722
H00078	hsa04310
H00078	hsa04330
H00078	hsa04722
H00866	hsa03022
H00161	hsa00100
H01396	hsa04270
H01630	hsa04270
H00801	hsa04270
H01229	hsa04530
H01287	hsa03440
H02227	hsa04010
H01593	hsa04961
H01593	hsa04978
H01971	hsa04659
H00720	hsa04921
H01367	hsa00970
H01234	hsa00982
H02284	hsa00590
H00291	hsa04623
H01000	hsa04623
H00290	hsa04623
H01105	hsa04141
H00831	hsa00790
H02000	hsa00020
H02000	hsa00280
H02000	hsa00620
H02006	hsa00020
H02122	hsa04114
H00610	hsa03008
H01375	hsa00030
H01375	hsa00480
H00668	hsa00030
H01699	hsa04918
H01113	hsa00740
H01113	hsa04142
H02309	hsa00230
H00595	hsa04510
H00609	hsa04060
H00609	hsa04350
H01210	hsa04978
H00375	hsa00071
H00375	hsa00280
H00375	hsa01212
H00632	hsa04060
H01132	hsa04612
H00666	hsa04920
H01149	hsa04350
H00620	hsa04350
H00979	hsa04310
H02099	hsa00120
H02099	hsa04146
H00407	hsa00120
H00407	hsa04146
H00628	hsa04146
H01744	hsa04621
H02056	hsa02010
H02056	hsa04976
H00995	hsa00130
H00208	hsa02010
H00532	hsa04010
H02043	hsa04010
H02043	hsa04360
H01210	hsa04540
H01031	hsa04721
H00871	hsa00970
H01193	hsa00512
H01193	hsa04010
H01364	hsa00062
H01364	hsa00071
H01364	hsa00280
H01364	hsa00310
H01364	hsa00380
H01364	hsa00650
H01267	hsa00071
H00244	hsa04130
H00645	hsa04010
H00645	hsa04380
H00540	hsa04010
H00540	hsa04380
H01746	hsa04621
H01746	hsa04622
H01746	hsa04623
H01071	hsa00010
H02279	hsa04142
H00911	hsa04724
H00911	hsa04974
H00134	hsa00140
H00527	hsa00900
H02211	hsa04024
H02026	hsa04961
H00141	hsa00511
H00141	hsa04142
H00275	hsa04142
H02111	hsa04310
H00276	hsa04142
H00281	hsa00511
H00281	hsa00531
H00281	hsa00600
H00281	hsa00604
H00281	hsa04142
H00123	hsa00531
H00123	hsa04142
H00426	hsa00600
H00426	hsa04142
H01951	hsa00010
H01951	hsa00260
H01953	hsa00010
H01276	hsa04010
H01276	hsa04510
H00894	hsa04510
H00894	hsa04530
H02361	hsa04727
H02015	hsa03450
H00503	hsa04340
H02158	hsa04340
H00998	hsa04960
H00998	hsa04961
H00998	hsa04964
H02161	hsa04340
H00502	hsa04340
H01226	hsa04340
H00674	hsa00240
H00132	hsa00531
H00132	hsa04142
H00917	hsa04141
H01123	hsa00072
H01123	hsa00280
H01123	hsa00650
H01123	hsa00900
H00344	hsa04060
H00178	hsa00071
H00136	hsa04142
H01097	hsa04727
H02073	hsa04514
H00586	hsa04514
H00805	hsa04514
H00142	hsa00511
H00142	hsa00600
H00142	hsa04142
H01096	hsa00010
H01096	hsa00230
H01096	hsa00620
H01154	hsa04920
H01956	hsa04152
H00259	hsa00140
H01709	hsa00140
H00407	hsa01040
H00407	hsa03320
H02098	hsa00120
H02098	hsa01040
H02098	hsa04146
H00874	hsa00120
H00874	hsa03320
H00874	hsa04146
H02095	hsa00120
H00623	hsa04330
H00551	hsa04330
H00409	hsa04115
H00409	hsa04330
H00728	hsa04020
H00600	hsa04310
H02317	hsa04310
H00949	hsa04310
H00078	hsa04144
H00825	hsa04744
H01200	hsa00190
H00751	hsa04145
H01951	hsa04922
H00286	hsa04140
H00286	hsa04621
H01227	hsa04140
H01274	hsa04114
H01274	hsa04914
H01751	hsa00310
H01024	hsa04350
H01023	hsa04350
H01928	hsa04150
H01122	hsa04630
H00184	hsa00230
H00703	hsa04530
H00656	hsa04530
H00235	hsa00520
H01913	hsa03040
H01969	hsa04650
H00749	hsa04010
H01702	hsa04080
H01387	hsa00562
H01387	hsa04662
H01387	hsa04666
H00129	hsa00531
H00129	hsa04142
H01456	hsa04211
H00624	hsa04530
H00945	hsa04610
H01818	hsa04728
H00783	hsa04728
H00181	hsa00280
H01237	hsa00920
H00152	hsa02010
H01213	hsa02010
H01213	hsa04975
H01213	hsa04976
H01999	hsa00010
H01999	hsa00620
H01239	hsa04142
H00857	hsa04310
H00429	hsa04964
H00221	hsa04141
H01344	hsa03450
H01227	hsa04612
H02242	hsa04926
H01508	hsa04330
H01944	hsa00500
H01944	hsa04910
H01944	hsa04922
H00773	hsa04014
H01371	hsa00100
H00178	hsa00310
H00178	hsa00380
H01998	hsa00010
H01998	hsa00620
H00488	hsa00071
H00488	hsa01212
H00590	hsa04510
H00590	hsa04810
H02017	hsa00511
H02017	hsa00531
H00124	hsa04142
H02257	hsa04610
H01199	hsa03320
H02059	hsa04060
H02059	hsa04080
H02059	hsa04152
H02059	hsa04630
H02059	hsa04920
H00840	hsa04530
H00840	hsa04670
H00966	hsa00230
H00966	hsa00670
H01456	hsa04614
H01457	hsa04614
H00762	hsa00532
H01240	hsa04145
H01240	hsa04380
H00756	hsa04514
H01135	hsa00030
H01106	hsa04115
H01106	hsa04610
H01529	hsa04066
H01709	hsa04066
H00430	hsa04350
H00603	hsa04960
H01161	hsa00350
H01161	hsa00380
H01161	hsa04726
H00265	hsa04010
H00265	hsa04210
H00265	hsa04722
H00192	hsa00230
H01109	hsa04145
H00675	hsa04340
H00482	hsa04340
H02013	hsa03320
H01457	hsa04066
H01529	hsa04370
H00992	hsa04110
H00992	hsa04115
H00806	hsa04725
H00184	hsa00270
H02297	hsa04150
H02153	hsa04150
H01912	hsa04150
H01195	hsa00562
H01195	hsa04070
H01195	hsa04510
H00258	hsa00140
H01285	hsa00270
H01285	hsa00450
H01285	hsa00670
H01112	hsa04150
H00761	hsa00230
H00761	hsa00450
H00761	hsa00920
H00761	hsa01100
H00967	hsa03320
H00967	hsa04920
H00746	hsa04020
H00746	hsa04260
H02000	hsa00010
H01261	hsa04973
H00617	hsa00100
H01958	hsa04512
H01619	hsa04350
H01024	hsa04060
H01023	hsa04060
H01023	hsa04520
H02096	hsa00071
H02096	hsa01040
H02096	hsa03320
H02096	hsa04146
H01288	hsa04110
H01266	hsa00830
H02287	hsa04141
H00746	hsa04725
H00746	hsa04912
H00215	hsa04725
H00265	hsa04144
H00176	hsa02010
H00176	hsa04146
H00158	hsa00564
H00282	hsa04621
H00764	hsa04360
H01111	hsa00140
H01111	hsa00980
H00880	hsa04623
H01346	hsa03440
H01346	hsa03460
H02111	hsa04150
H02106	hsa04714
H01129	hsa04020
H00645	hsa04210
H00540	hsa04210
H01108	hsa04145
H00189	hsa00330
H00889	hsa04919
H01195	hsa04115
H00517	hsa04330
H01189	hsa00030
H02344	hsa04210
H02344	hsa04217
H01952	hsa00010
H01952	hsa00030
H01952	hsa00051
H00410	hsa04910
H00194	hsa00230
H02295	hsa04550
H02296	hsa04550
H00288	hsa04621
H02109	hsa00061
H02109	hsa00280
H01386	hsa00250
H00468	hsa04350
H00983	hsa04610
H00770	hsa04512
H00801	hsa04530
H00420	hsa04923
H01225	hsa00480
H01438	hsa04390
H02194	hsa03008
H00801	hsa04010
H00862	hsa00340
H00751	hsa04962
H00137	hsa00600
H00137	hsa04142
H01161	hsa04728
H00073	hsa00020
H00073	hsa00620
H01605	hsa04630
H00131	hsa00531
H00131	hsa04142
H00536	hsa04330
H01893	hsa04330
H01910	hsa04330
H00420	hsa04371
H00494	hsa00532
H00494	hsa00534
H01255	hsa04145
H01255	hsa04670
H01900	hsa04668
H00884	hsa04916
H00872	hsa04530
H00831	hsa00350
H00494	hsa00230
H01272	hsa04540
H01095	hsa04540
H01885	hsa04150
H01394	hsa00230
H01394	hsa00500
H01394	hsa00740
H01394	hsa00760
H01394	hsa00770
H01002	hsa00230
H01002	hsa00500
H01002	hsa00740
H01002	hsa00760
H01002	hsa00770
H01002	hsa01100
H01016	hsa04976
H01082	hsa00260
H01082	hsa00750
H02117	hsa00260
H02117	hsa00750
H00912	hsa04210
H01307	hsa04310
H02026	hsa04020
H00766	hsa04141
H02025	hsa04145
H00206	hsa00900
H00196	hsa00030
H00196	hsa00230
H00946	hsa00030
H00946	hsa00230
H00946	hsa01100
H01255	hsa04510
H01981	hsa00071
H01981	hsa01212
H00721	hsa04620
H00964	hsa00983
